recording_id,folder_path,quality_mixed,source,rating
2,"Bill Evans Trio/Bill Evans 1979-10-30 Lulu White's.Boston,MA.fm.flac16",A,FM,
3,"Bill Evans/Bill Evans - 1980-02-22 - Sprague Memorial Hall - New Haven, CT (AUD)",B+,AUD,
4,"Talking Heads/Talking Heads - 1978-10-19 - Lydia Mendelssohn Theatre - Ann Arbor, MI (SBD)",A,SBD,
6,"Stan Getz Sextet/Stan Getz Sextet - 1978-04-27 - Kursaal - Bern, Switzerland (FM)",A+,FM,
7,"The Meters/The Meters - 1992-04-11 - The Muse - York, NY (SBD)",A,SBD,
8,"Sonny Rollins Sextet/Sonny Rollins Sextet - 1985-01-11 - Kosei Nenkin Kaikan - Osaka, Japan (FM)",A-,FM,
9,"Sonny Rollins & Don Cherry Quartet/Sonny Rollins & Don Cherry Quartet - 1963-01-19 - L'Olympia - Paris, France (AUD)",A+,AUD,
10,"Bill Evans Trio/Bill Evans Trio - 1976-11-05 - Studio 104, Maison de la Radio - Paris, France (FM)",A,FM,
12,"D'Angelo & the Soultronics/D'Angelo & the Soultronics - 2000-07-16 - Congresgebouw - The Hague, Netherlands (FM)",A+,FM,99
13,"Khruangbin/Khruangbin - 2019-06-19 - Capitol Theatre - Port Chester, NY (SBD)",A+,SBD,
14,"D'Angelo & the Soultronics/D'Angelo & the Soultronics - 2000-07-08 - Cirkus - Stockholm, Sweden (FM)",A+,FM,97
16,"A Tribe Called Quest/A Tribe Called Quest - 1998-11-20 - House of Blues - Chicago, IL",B,SBD,
17,"Aerosmith/Aerosmith - 1975-08-29 - Schaeffer Music Festival - Central Park - New York, NY (FM)",A,FM,85
37,"D'Angelo/D'Angelo - 2015-06-21 - Forest Hills Stadium - Forest Hills, NY (AUD)",C,AUD,70
38,"Allman Brothers Band/Allman Brothers Band - 1973-12-31 - Cow Palace - San Francisco, CA (SBD A)",A,SBD,91
39,"Al Green/Al Green - 2003-08-30 - Labor Day Blues Festival - Bedford, TX (AUD)",B,AUD,
40,"Allman Brothers Band/Allman Brothers Band - 1970-05-09 - Georgia Tech Coliseum - Atlanta, GA",C,,
41,"Allman Brothers Band/Allman Brothers Band - 1971-08-26 - A&R Studios - York, NY (FM)",A,FM,
42,"Allman Brothers Band/Allman Brothers Band - 1972-04-16 - Academy of Music - York, NY (Reel)",B-,Reel,
43,"Allman Brothers Band/Allman Brothers Band - 2001-08-03 - Alltel Pavilion - Raleigh, NC (AUD)",A-,AUD,
48,"Bonnie Raitt/Bonnie Raitt - 1988-03-05 - Rockefeller's - Houston, TX (SBD)",A+,SBD,
49,"Brian Wilson/Brian Wilson - 2000-07-22 - Chicago Theater - Chicago, IL (AUD A)",A,AUD,
52,"Bruce Hornsby/Bruce Hornsby - 1996-04-10 - EMU Ballroom - Eugene, OR (SBD)",A,SBD,
53,"Cream/Cream - 2005-10-25 - Madison Square Garden - York, NY (AUD)",B+,AUD,
60,Allman Brothers Band/Allman Brothers Band - 1973-06-09 - RFK Stadium - Unknown Location (SBD),A-,SBD,
61,"Bob Marley & The Wailers/Bob Marley & The Wailers - 1975-07-07 - The Boarding House - San Francisco, CA (SBD A+)",A+,SBD,95
65,"Allman Brothers Band/Allman Brothers Band - 1973-07-28 - Watkins Glen Grand Prix Raceway (Race Course) - Watkins Glen, NY (SBD)",C,SBD,
66,"Bela Fleck and Jerry Douglas/Bela Fleck and Jerry Douglas - 1998-01-16 - Arts & Science Center of Catawba Valley - Hickory, NC (MTX - Baker)",A+,MTX,92
67,"Bela Fleck and Jerry Douglas/Bela Fleck and Jerry Douglas - 1998-01-16 - Arts & Science Center of Catawba Valley - Hickory, NC (SBD)",A+,SBD,
68,"Bela Fleck and Jerry Douglas/Bela Fleck and Jerry Douglas - 1998-01-15 - Bill and Claire's Living Room - Hickory, NC (SBD)",A,SBD,
69,"Bela Fleck & Sandip Burman/Bela Fleck & Sandip Burman - 1999-05-12 - Arts & Science Center of Catawba Valley - Hickory, NC (AUD)",A-,AUD,
70,"Bela Fleck & Sandip Burman/Bela Fleck & Sandip Burman - 1999-06-20 - KOTO Radio - Telluride, CO (FM)",A,FM,
71,"Olivia Dean/Olivia Dean - 2026-05-20 - Hallenstadion - Zürich, Switzerland (AUD - Neumann KM140)",A-,AUD,
72,"Khruangbin/Khruangbin - 2017-02-22 - Brooklyn Bowl - Brooklyn, NY (MTX)",A+,MTX,99
73,"Pat Metheny Group/Pat Metheny Group - 2010-07-24 - Jardins de Cimiez - Nice, France (AUD)",B+,AUD,
74,Pat Metheny - Side-Eye III+/Pat Metheny - Side-Eye III+ - 2026-06-07 - Musik- und Kongresshalle - Germany (AUD),B+,AUD,
76,"Bill Evans Trio/Bill Evans Trio - 1979-12-12 - Balboa Jazz Club - Madrid, Spain (SBD)",A-,SBD,
77,"Bela Fleck & Sandip Burman/Bela Fleck & Sandip Burman - 2000-05-12 - Van Dyck - Schenectady, NY (AUD)",A,AUD,
78,"Bela Fleck & Sandip Burman/Bela Fleck & Sandip Burman - 2000-05-13 - Barre Opera House - Barre, VT (AUD)",A-,AUD,
79,"Bela Fleck and Jerry Douglas/Bela Fleck and Jerry Douglas - 1998-01-17 - Catawba Valley Arts and Science Center - Hickory, NC (SBD)",A+,SBD,
80,"Bill Evans Trio + Friends/Bill Evans Trio + Friends - 1978-07-06 - Arènes et Jardins de Cimiez - Nice, France (AUD)",A,AUD,
81,"Bill Keith and Jim Rooney/Bill Keith and Jim Rooney - 1962-07-12 - WHRB Radi - Cambridge, MA (SBD)",A-,SBD,
82,"Crosby, Stills, Nash & Young/Crosby, Stills, Nash & Young - 1974-07-13 - Oakland Alameda County Coliseum - Oakland, CA (AUD)",B,AUD,
83,"Crosby, Stills, Nash & Young/Crosby, Stills, Nash & Young - 1970-06-04 - Fillmore East - New York, NY (SBD)",A,SBD,
85,"Brian Wilson/Brian Wilson - 1998-07 - BBC Radio 2 - London, UK (FM)",A,FM,
87,"Bill Evans Trio/Bill Evans Trio - 1974-07-03 - Camp Fortune - Gatineau, QC (FM)",A-,FM,
89,"Bill Evans Trio/Bill Evans Trio - 1979-11-30 - Teatro Politeama - Casale Monferrato, Italy (SBD)",B+,SBD,
90,"Bill Evans Trio/Bill Evans Trio - 1975-02-06 - Radio Suisse - Epalinges, Switzerland (FM)",A+,FM,
91,"Bill Evans Trio/Bill Evans Trio - 1980-08-09 - Molde Jazz Festival - Molde, Norway",A-,AUD,
94,"Al Di Meola, John McLaughlin and Paco de Lucía/Al Di Meola, John McLaughlin and Paco de Lucía - 1996-10-23 - Royal Festival Hall - London, UK (AUD)",B+,AUD,
95,"Al Di Meola, John McLaughlin and Paco de Lucía/Al Di Meola, John McLaughlin and Paco de Lucía - 1983-06-18 - Hammersmith Odeon - London, UK (SBD)",A,SBD,
